(( -0.1935 ), -6.393780672348 )
(( 0.4445 ), 4.1096620212149 )
(( -2.395 ), -12.748199321108 )
(( -0.9415 ), 1.9387857669541 )
(( -1.188 ), -7.4670095881747 )
(( 1.172 ), 8.4961418894993 )
(( 2.815 ), 5.5858558635056 )
(( -2.6045 ), -3.3250331948714 )
(( -1.536 ), 0.073960821465825 )
(( -0.3375 ), -4.0061442843279 )
(( -2.413 ), -12.013623209238 )
(( -0.9035 ), 1.4062854444722 )
(( -1.408 ), -5.9459314521052 )
(( 0.1795 ), 4.255552092963 )
(( 2.7695 ), 8.356433431048 )
(( 2.5055 ), 9.4430808233536 )
(( -2.7715 ), -8.9086654837911 )
(( -0.2605 ), -7.0861236264366 )
(( 1.419 ), 4.7662760228449 )
(( 1.4435 ), 5.6317245047056 )
(( -2.9185 ), -6.8758031650898 )
(( 2.551 ), 11.229229811376 )
(( -0.1625 ), -5.3257407448047 )
(( 0.146 ), 4.9734792871936 )
(( 0.58 ), 6.6257146023393 )
(( -1.0085 ), 0.78890605386489 )
(( 1.2855 ), 6.1266686265645 )
(( 1.0225 ), 5.4539152797129 )
(( -1.8405 ), -4.4093015109072 )
(( -0.741 ), -2.0806746702556 )
(( -0.8165 ), -0.42552965435235 )
(( 1.914 ), 0.77697792245138 )
(( -2.2895 ), -13.432668181793 )
(( 1.0285 ), 5.8164204412888 )
(( -0.246 ), -7.0302874838815 )
(( -1.7515 ), -5.7935551834402 )
(( 0.9165 ), -0.19122227294626 )
(( 1.5515 ), 9.8405031710125 )
(( 1.435 ), 5.2848350032079 )
(( 0.833 ), -3.5495662662547 )
(( 1.508 ), 8.037348981726 )
(( -1.7455 ), -5.8275550269947 )
(( -1.1185 ), -3.7606155251413 )
(( -2.1125 ), -4.4339351761798 )
(( -1.164 ), -6.2237396483408 )
(( 1.557 ), 9.7468558334119 )
(( -2.0155 ), -1.8265721397402 )
(( -2.8955 ), -7.4880194398838 )
(( -1.227 ), -9.2884888270945 )
(( 0.1485 ), 4.9267185874532 )
(( 1.895 ), 0.33344442900374 )
(( -1.9985 ), -1.6591596263208 )
(( -2.9695 ), -5.7155576650903 )
(( -1.349 ), -9.490722129023 )
(( -2.1995 ), -8.8801177701453 )
(( -2.752 ), -8.2742906076866 )
(( -0.2785 ), -6.82526711033 )
(( 1.099 ), 7.7205620553032 )
(( -2.1885 ), -8.4923120069582 )
(( 0.393 ), 1.9423547937691 )
(( -1.7285 ), -5.5660298612678 )
(( 1.01 ), 4.6497997165611 )
(( -1.1385 ), -4.8964773991265 )
(( 2.943 ), 3.5489083911827 )
(( 2.996 ), 5.8993922051813 )
(( -1.092 ), -2.4481026269644 )
(( 0.4015 ), 2.1333537576949 )
(( 0.1105 ), 5.3282166124437 )
(( -2.645 ), -4.3057702847675 )
(( 0.766 ), -3.5328533590347 )
(( -2.585 ), -3.188565427062 )
(( -1.385 ), -7.5304375305497 )
(( -0.5585 ), 2.1816351299127 )
(( -2.861 ), -8.6495448341125 )
(( -1.112 ), -3.2865333848316 )
(( 2.8545 ), 3.7264769836793 )
(( 1.192 ), 8.3540631600305 )
(( 0.9075 ), -0.5969181190328 )
(( 0.8365 ), -3.5729430022308 )
(( 1.3635 ), 4.5647019530248 )
(( 1.655 ), 8.9282493219714 )
(( -0.7895 ), -1.173352643788 )
(( -2.834 ), -8.8217083528293 )
(( -0.147 ), -4.4650845670896 )
(( 2.266 ), 11.279889722513 )
(( -2.3975 ), -12.694173203882 )
(( -0.8745 ), 0.98932944141299 )
(( -0.2265 ), -7.0143972610295 )
(( -1.4705 ), -2.0354958839633 )
(( -2.397 ), -12.707254580531 )
(( -0.4825 ), 3.2632912713812 )
(( 1.838 ), -0.19166716154919 )
(( 1.967 ), 3.4574538373345 )
(( 2.3065 ), 10.309958292962 )
(( -0.5625 ), 2.1822271522864 )
(( -2.571 ), -3.3742885372887 )
(( 2.9635 ), 4.404744655549 )
(( 2.2285 ), 11.919442623376 )
(( -2.7765 ), -8.963774451569 )
(( 2.163 ), 11.595692337019 )
(( -1.1645 ), -6.3376782215547 )
(( -0.532 ), 3.3331108685859 )
(( -2.239 ), -11.234651317354 )
(( -0.871 ), 1.0920265806841 )
(( -0.766 ), -1.90114636702 )
(( 1.621 ), 10.100557749769 )
(( 2.59 ), 12.648147079617 )
(( -1.7555 ), -5.7369529924097 )
(( -2.486 ), -7.3852878205321 )
(( 1.483 ), 6.9572726718388 )
(( -2.775 ), -8.9418636479672 )
(( -2.735 ), -7.7385958057627 )
(( 0.027 ), 3.9176797586778 )
(( -1.7765 ), -5.8485180855695 )
(( -2.6145 ), -3.5577782724108 )
(( 0.2745 ), 1.766429562091 )
(( -1.258 ), -10.566223353248 )
(( 2.6165 ), 13.624327460645 )
(( -0.085 ), -1.1073019253688 )
(( -1.3005 ), -10.431930550933 )
(( 1.1325 ), 8.3761482521754 )
(( -2.2465 ), -11.401665757628 )
(( -2.065 ), -2.6836141510986 )
(( -1.07 ), -1.3381079623816 )
(( -1.381 ), -7.8273745789096 )
